threshold,predictions_acted_on,coverage,precision,recall,balanced_accuracy,signal_frequency
0.5,24,1.0,0.9333333333333333,0.7368421052631579,0.7684210526315789,0.625
0.55,21,0.875,0.9166666666666666,0.6875,0.74375,0.5
0.6,20,0.8333333333333334,1.0,0.6875,0.84375,0.4583333333333333
